kingdom,phylum,ERR977403,ERR977404,ERR977405,ERR977406,ERR977407,ERR977408,ERR977409,ERR977410,ERR977411,ERR977412,ERR977413,ERR977414,ERR977415,ERR977416,ERR977417,ERR977418,ERR977419,ERR977420,ERR977421,ERR977422,ERR977423,ERR977424,ERR977425
Archaea,Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,267,285,45,50,48,0,0,0
Archaea,Euryarchaeota,0,0,0,0,1,1,3,5,10,11,6,18,14,8,0,0,0,6,11,3,10,3,63
Archaea,Parvarchaeota,0,0,0,0,0,0,0,0,3,2,1,1,0,0,4,0,2,8,7,10,2,4,28
Bacteria,Acidobacteria,1,0,0,0,24,21,81,26,71,96,66,179,175,165,434,454,445,189,184,178,313,318,391
Bacteria,Actinobacteria,23,41,48,0,126,109,555,176,94,98,82,776,793,795,165,176,180,656,630,605,1113,2557,3723
Bacteria,Armatimonadetes,0,0,0,0,1,0,3,2,8,4,8,6,10,10,40,37,45,21,28,23,5,22,16
Bacteria,Bacteroidetes,0,0,0,0,43,25,163,116,552,614,589,290,249,247,297,205,240,5103,5274,4935,547,649,1830
Bacteria,Caldiserica,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0
Bacteria,Caldithrix,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0
Bacteria,Chlamydiae,0,0,0,0,0,0,0,2,9,3,9,18,16,16,37,54,48,11,17,11,9,52,140
Bacteria,Chlorobi,0,0,0,0,11,10,42,23,7,18,24,57,41,27,52,38,32,82,65,102,160,166,205
Bacteria,Chloroflexi,0,0,0,0,85,57,324,169,502,498,505,1312,1369,1324,218,214,263,190,209,210,1252,3265,2777
Bacteria,Cyanobacteria,0,0,0,0,0,0,4,6,17,14,15,8,10,4,3,7,2,62,57,70,12,40,179
Bacteria,Deferribacteres,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,0,0,0,0,0,0,0,0,1,2,0,0,2,0,71,89,111,15,12,18,3,8,28
Bacteria,Fibrobacteres,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0,0,0,2,0,0,2,0,0
Bacteria,Firmicutes,2,3,5,3,32,24,114,105,57,72,63,198,239,194,11,7,3,15,22,11,426,709,1667
Bacteria,Fusobacteria,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,20
Bacteria,Gemmatimonadetes,0,0,0,0,6,5,21,10,26,27,15,14,11,13,132,126,122,55,44,45,86,67,160
Bacteria,Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bacteria,Nitrospirae,2845,2266,3928,1690,9,14,57,21,23,13,17,157,166,174,3483,3572,3424,1340,1328,1253,176,249,217
Bacteria,Planctomycetes,99,111,166,71,26,10,71,24,117,109,109,252,201,233,305,323,293,150,149,120,192,339,343
Bacteria,Proteobacteria,1211,1431,2867,1929,181,138,604,273,1403,1389,1342,1875,1923,1965,4473,4407,4452,28637,29105,28177,2042,2676,14077
Bacteria,Spirochaetes,0,0,0,0,1,1,0,3,12,19,12,6,5,10,21,14,27,11,10,5,3,18,82
Bacteria,Synergistetes,0,0,0,0,0,0,1,0,2,2,2,5,0,3,0,0,1,0,0,0,0,3,4
Bacteria,Tenericutes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,12,9,21,2,2,15
Bacteria,Thermi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,1
Bacteria,Thermotogae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Verrucomicrobia,0,0,0,0,8,5,11,9,42,34,35,31,22,33,196,228,207,138,150,130,85,131,365
